image,alpha,beta,sigma,ssim,psnr,score
0801.png,2.5,-1.5,1.0,0.9562291685526532,33.86546855745689,0.8725532293315985
0802.png,2.5,-1.5,1.0,0.9642750378698843,39.16311446314846,0.9099712132878097
0803.png,2.5,-1.5,1.0,0.9833869935790591,40.75700985971257,0.9329129546636168
0804.png,2.5,-1.5,1.0,0.9032918920835049,30.37708501887289,0.8145668345716908
0805.png,2.5,-1.5,1.0,0.9060907010229705,32.224596852053224,0.8276110718283987
0806.png,2.5,-1.5,1.0,0.9372367441083195,31.541979863280353,0.8453176000555057
0807.png,2.5,-1.5,1.0,0.7350739263105384,22.30872877128185,0.648404121045068
0808.png,2.5,-1.5,1.0,0.8996514774186759,29.00983207776692,0.8038150266596746
0809.png,2.5,-1.5,1.0,0.9678841356833537,37.87478568429226,0.9047676090841011
0810.png,2.5,-1.5,1.0,0.9263424676762155,30.578406609795813,0.8319101670321257
0811.png,2.5,-1.5,1.0,0.924808787630384,32.84936806951696,0.8444623597583705
0812.png,2.5,-1.5,1.0,0.9149380711630952,30.581282222020594,0.8239443431462902
0813.png,2.5,-1.5,1.0,0.9317205956925,34.03078562238721,0.8563891307190732
0814.png,2.5,-1.5,1.0,0.9532619646328809,31.35116305709674,0.8553903535855971
0815.png,2.5,-1.5,1.0,0.9600818594680169,37.71535261502238,0.8983494173177461
0816.png,2.5,-1.5,1.0,0.9309869526089837,34.620421740666956,0.8594133972702902
0817.png,2.5,-1.5,1.0,0.943674000966963,35.362057902368505,0.872744148091085
0818.png,2.5,-1.5,1.0,0.9618235359270934,32.00717039558191,0.8653194975224567
0819.png,2.5,-1.5,1.0,0.9432669619575529,31.884220913216183,0.8515921988495841
0820.png,2.5,-1.5,1.0,0.9074295904064827,27.43668802084262,0.7998208414095935
0821.png,2.5,-1.5,1.0,0.9541869397917583,32.68595181362187,0.864046568735962
0822.png,2.5,-1.5,1.0,0.9541564114475454,33.783068685999936,0.8706079001292814
0823.png,2.5,-1.5,1.0,0.9015363843802136,28.29039641498257,0.8008178475560448
0824.png,2.5,-1.5,1.0,0.9294234847995354,29.452137287922113,0.8273092630872074
0825.png,2.5,-1.5,1.0,0.9182471246042464,29.751796122717735,0.8212837639592789
0826.png,2.5,-1.5,1.0,0.8620231656339413,26.04112608838987,0.7596629724740982
0827.png,2.5,-1.5,1.0,0.9385852978305321,35.241795552035704,0.8684604817935866
0828.png,2.5,-1.5,1.0,0.8905980861733536,20.57767293469974,0.7468846979295458
0829.png,2.5,-1.5,1.0,0.644943894602581,27.863382562872264,0.6186410215990402
0830.png,2.5,-1.5,1.0,0.8682094629512919,27.12939480220016,0.7705229928791052
0831.png,2.5,-1.5,1.0,0.9462219408492389,32.90795017114967,0.8598030596213653
0832.png,2.5,-1.5,1.0,0.9566674696024531,35.33283900580991,0.8816642627565766
0833.png,2.5,-1.5,1.0,0.9442088494478245,35.9419398870851,0.8765978339359877
0834.png,2.5,-1.5,1.0,0.9051963281835027,28.399215433440318,0.8040327223290937
0835.png,2.5,-1.5,1.0,0.823669919251502,25.486247022647287,0.7294864256119351
0836.png,2.5,-1.5,1.0,0.8823132597881623,27.58209070587594,0.7831118260869692
0837.png,2.5,-1.5,1.0,0.9178733910620016,28.396251894098977,0.812888885107995
0838.png,2.5,-1.5,1.0,0.9502282328664412,40.93177405869866,0.9107504073587007
0839.png,2.5,-1.5,1.0,0.9192705713192116,31.720193311047243,0.8338105597897316
0840.png,2.5,-1.5,1.0,0.9321714784571018,31.776049935516838,0.8431763345330723
0841.png,2.5,-1.5,1.0,0.9364429515977869,31.313082090512108,0.8433885586615234
0842.png,2.5,-1.5,1.0,0.9439893617149232,32.95536115311947,0.8585247201191629
0843.png,2.5,-1.5,1.0,0.9877465125669059,41.48790930981128,0.9403500146557018
0844.png,2.0,-1.0,1.0,0.9928383006697428,45.211802877315286,0.9662576277327117
0845.png,2.5,-1.5,1.0,0.839276210655578,25.214423332025987,0.7387798874510605
0846.png,2.5,-1.5,1.0,0.8619628417555957,26.795850260387798,0.7641490907912437
0847.png,2.5,-1.5,1.0,0.9211580907050034,30.26370873088367,0.8263929158788044
0848.png,2.5,-1.5,1.0,0.8266095483792312,28.419893515866693,0.749146044960662
0849.png,2.5,-1.5,1.0,0.8773916279776579,24.239628826097533,0.7596119125409457
0850.png,2.5,-1.5,1.0,0.9082362883667832,30.632890916720243,0.8195627473570696
0851.png,2.5,-1.5,1.0,0.9326702477372455,31.71046454112664,0.8431319606628316
0852.png,2.5,-1.5,1.0,0.9235422666010357,32.73120976688668,0.8428668452220449
0853.png,2.5,-1.5,1.0,0.9733123713388675,38.26635721662931,0.910916803236983
0854.png,2.5,-1.5,1.0,0.8622915199582294,27.067911540816173,0.7660115332156575
0855.png,2.5,-1.5,1.0,0.8508573828266441,32.07012795454294,0.7880209357059085
0856.png,2.5,-1.5,1.0,0.8956627928135418,29.85677436368264,0.806104601151575
0857.png,2.0,-1.0,1.0,0.8138767269444379,35.46235655150758,0.782487848170152
0858.png,2.5,-1.5,1.0,0.9201066205755758,31.423625044198747,0.8326163846680955
0859.png,2.5,-1.5,1.0,0.8653784849751188,28.412542364888672,0.7762401936719152
0860.png,2.5,-1.5,1.0,0.8534743981722137,23.55926548514832,0.7387876716314395
0861.png,2.5,-1.5,1.0,0.8547168041481163,24.795714780678214,0.7470760515877507
0862.png,2.5,-1.5,1.0,0.8901400896988687,35.39362942032791,0.8354598393111755
0863.png,2.5,-1.5,1.0,0.9505032563679017,35.769342661523666,0.8799683354266732
0864.png,2.5,-1.5,1.0,0.9146182543919092,32.9786338943274,0.8381045814403009
0865.png,2.5,-1.5,1.0,0.8763797698727074,29.44017994070141,0.7901069185551036
0866.png,2.5,-1.5,1.0,0.923747143806177,28.114656216757478,0.8153109379648688
0867.png,2.5,-1.5,1.0,0.9329873808064125,31.30406645824019,0.8409155653139299
0868.png,2.5,-1.5,1.0,0.975434328889275,34.56045482041131,0.8901667591449604
0869.png,2.5,-1.5,1.0,0.9125541659383428,26.174539908061824,0.7958351556052109
0870.png,2.5,-1.5,1.0,0.9594517195401329,33.398039747200485,0.8720044421612958
0871.png,2.5,-1.5,1.0,0.9585961834498642,35.10580684098199,0.8816521694607968
0872.png,2.5,-1.5,1.0,0.8762700311768654,26.618329386309814,0.7730989981416646
0873.png,2.5,-1.5,1.0,0.8618489093255054,26.216554451325432,0.7605935632358063
0874.png,2.5,-1.5,1.0,0.9035465350526242,32.54139261011914,0.8277309301975517
0875.png,2.5,-1.5,1.0,0.8402700810015139,26.625062168680568,0.7479394297131431
0876.png,2.5,-1.5,1.0,0.794742170874788,24.180594518584403,0.701403086723858
0877.png,2.5,-1.5,1.0,0.9823855235784164,41.7023702981552,0.9378840882938226
0878.png,2.5,-1.5,1.0,0.9557759103391413,34.77781166603027,0.8777100072335805
0879.png,2.5,-1.5,1.0,0.929234292030418,29.669702489229937,0.8284822193566721
0880.png,2.5,-1.5,1.0,0.9624630459157438,36.0056277910872,0.8897578988875439
0881.png,2.5,-1.5,1.0,0.8906606175684909,28.5176540412945,0.7945683565457107
0882.png,2.5,-1.5,1.0,0.9725158732057213,36.39530882802849,0.8991329642121758
0883.png,2.5,-1.5,1.0,0.9499595950999902,33.0867197860005,0.863492035285996
0884.png,2.5,-1.5,1.0,0.8838963820025165,28.88692688570664,0.7920490287160014
0885.png,2.5,-1.5,1.0,0.8116398598491688,25.25410701392336,0.7196725439779583
0886.png,2.0,-1.0,1.0,0.9449528583290993,39.48956523596006,0.8984043922461298
0887.png,2.5,-1.5,1.0,0.8870439693158012,27.570954258263633,0.7863565040706426
0888.png,2.5,-1.5,1.0,0.9373919996211643,32.61659821637313,0.8518739890330537
0889.png,2.5,-1.5,1.0,0.9694295740077475,34.79082811957778,0.8873456705228899
0890.png,2.5,-1.5,1.0,0.85109254019168,27.018718708943048,0.7578770903878342
0891.png,2.5,-1.5,1.0,0.8799832062127267,27.726943082742324,0.7823499028453625
0892.png,2.5,-1.5,1.0,0.9411715189142994,31.16929732645584,0.8458358471987446
0893.png,2.5,-1.5,1.0,0.8762006122803859,34.593676291867006,0.8209024863474721
0894.png,2.5,-1.5,1.0,0.9547462166329594,34.19847847378318,0.8735132224857707
0895.png,2.5,-1.5,1.0,0.8220457744441246,23.217101123515867,0.7147346488519823
0896.png,2.0,-1.0,1.0,0.9614252801297122,39.87754232267009,0.912262950026819
0897.png,2.5,-1.5,1.0,0.8873827474840937,25.052539196791205,0.7714831584196129
0898.png,2.5,-1.5,1.0,0.94394808745061,37.89149652775923,0.8881126403819823
0899.png,2.5,-1.5,1.0,0.9326352534444309,30.451723982411487,0.8355550213055705
0900.png,2.5,-1.5,1.0,0.9219487019116943,29.858620386202375,0.8245158136554002
